id,cr,state,daysremaining
37,60000,new,-1
63,58400,normal,6
821,50200,new,8
1044,47200,normal,10
1985,87900,new,7
201,28600,limited,3
1973,23900,limited,2
137,17000,limited,2
3549,41800,normal,4
1527,14400,normal,9
1671,54300,normal,4
3453,86100,normal,4
3341,172800,normal,5
207,58100,limited,3
1448,58400,limited,3
334,72800,soldout,1
959,43300,limited,2
688,60300,normal,6
1773,40300,normal,9
451,178300,limited,3
41,54700,soldout,1
3524,393800,limited,3
1399,70200,limited,3
1544,363500,normal,5
3431,220000,limited,2
3389,72700,new,7
1541,67600,limited,2
1373,106400,new,10
396,440400,normal,8
1378,207400,limited,3
187,70100,limited,3
