id,cr,state,daysremaining
1990,790200,limited,-1
3439,260000,limited,-1
3524,400000,limited,-1
1689,140000,normal,-1
3344,200000,new,-1
3344,200000,new,-1
3466,200000,new,-1
3466,200000,new,-1
3466,200000,new,-1
3403,40500,normal,5
1985,87900,limited,2
3513,51400,normal,8
1527,14400,normal,4
821,50200,limited,2
3356,40800,new,11
1044,47200,normal,4
145,15700,normal,6
1385,11800,normal,6
1796,142200,normal,7
379,62300,new,11
843,112000,normal,6
3432,43600,normal,12
211,80700,normal,5
514,98700,soldout,1
78,57800,limited,3
3385,220000,limited,2
3384,41600,new,9
773,178600,new,14
301,39600,new,14
345,99100,limited,2
1402,111800,new,13
1507,313200,normal,6
1480,99000,new,13
1539,141800,normal,8
1722,184100,normal,7
3434,367000,normal,8
3398,771300,normal,8
3439,228000,soldout,1
210,396400,normal,7
